file,sample_rate,duration,valid_sr,valid_duration,not_silent,passes_all
ml_data/processed/bike/bike_0330.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0331.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0332.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0333.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0334.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0335.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0336.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0337.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0338.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0339.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0340.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0341.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0342.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0343.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0344.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0345.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0346.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0347.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0348.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0349.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0350.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0351.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0352.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0353.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0354.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0355.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0356.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0357.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0358.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0359.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0360.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0361.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0362.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0363.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0364.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0365.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0366.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0367.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0368.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0369.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0370.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0371.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0372.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0373.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0374.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0375.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0376.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0377.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0378.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0379.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0380.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0381.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0382.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0383.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0384.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0385.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0386.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0387.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0388.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0389.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0390.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0391.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0392.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0393.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0394.wav,48000,10.0,True,True,True,True
